date,price,bedrooms,bathrooms,sqft_living,floors,condition,city,statezip,country
02-05-2014 00:00,235000,2,1,1210,1,2,Seattle,WA 98106,USA
02-05-2014 00:00,315000,3,1,1160,1,3,Woodinville,WA 98077,USA
02-05-2014 00:00,437500,3,2.25,1970,2,4,Issaquah,WA 98027,USA
02-05-2014 00:00,407500,3,2.5,1930,2,3,Renton,WA 98059,USA
02-05-2014 00:00,445700,3,2.5,1270,3,3,Seattle,WA 98107,USA
02-05-2014 00:00,838000,4,2.5,3310,2,3,Redmond,WA 98052,USA
02-05-2014 00:00,630000,4,2.75,2710,2,3,Issaquah,WA 98027,USA
02-05-2014 00:00,550000,3,1.75,2910,1.5,3,Sammamish,WA 98075,USA
02-05-2014 00:00,805000,3,2,2710,1.5,4,Seattle,WA 98115,USA
02-05-2014 00:00,284000,3,1.75,1800,1,3,Carnation,WA 98014,USA
02-05-2014 00:00,470000,5,2.5,2210,1,3,Bothell,WA 98011,USA
02-05-2014 00:00,430000,4,1.5,1920,1,4,Bellevue,WA 98006,USA
02-05-2014 00:00,491500,4,1.75,2190,1,3,Auburn,WA 98092,USA
02-05-2014 00:00,785000,5,3.25,3660,2,3,Snoqualmie,WA 98065,USA
02-05-2014 00:00,385000,3,3.25,1320,2,3,Seattle,WA 98199,USA
02-05-2014 00:00,295000,2,2.5,1630,2,3,Seattle,WA 98106,USA
02-05-2014 00:00,555000,4,2.5,3310,2,3,Snoqualmie,WA 98065,USA
02-05-2014 00:00,459990,3,2.5,2680,2,3,North Bend,WA 98045,USA
02-05-2014 00:00,625000,4,3.25,2730,1,3,Renton,WA 98059,USA
02-05-2014 00:00,300000,3,2.5,2540,2,3,Kent,WA 98042,USA
03-05-2014 00:00,625000,4,2.75,2920,2,3,Renton,WA 98059,USA
03-05-2014 00:00,553000,2,1,900,1,3,Seattle,WA 98117,USA
03-05-2014 00:00,379880,3,2.5,1650,1,4,Issaquah,WA 98027,USA
03-05-2014 00:00,310000,3,1,1010,1,4,Snoqualmie,WA 98065,USA
04-05-2014 00:00,775000,2,2.5,2680,1,3,Redmond,WA 98053,USA
04-05-2014 00:00,365000,3,2.5,2200,1,5,Renton,WA 98058,USA
04-05-2014 00:00,331950,4,2.5,2530,2,3,Auburn,WA 98092,USA
04-05-2014 00:00,783500,3,2.5,2850,2,3,Seattle,WA 98122,USA
04-05-2014 00:00,628000,4,2,2280,1,3,Seattle,WA 98122,USA
05-05-2014 00:00,560000,3,2.5,1900,2,3,Sammamish,WA 98074,USA
05-05-2014 00:00,900000,3,1,1330,1,3,Kirkland,WA 98033,USA
05-05-2014 00:00,531000,2,3,1270,2,3,Seattle,WA 98103,USA
05-05-2014 00:00,831000,4,3,2170,2,4,Seattle,WA 98112,USA
05-05-2014 00:00,780000,4,2.5,2730,2,3,Sammamish,WA 98074,USA
05-05-2014 00:00,755000,4,2.5,2120,1,4,Bellevue,WA 98005,USA
05-05-2014 00:00,705380,3,2.5,2490,2,3,Issaquah,WA 98029,USA
05-05-2014 00:00,627000,4,2.25,1990,1,3,Issaquah,WA 98027,USA
05-05-2014 00:00,865000,4,3,3690,2,3,Sammamish,WA 98075,USA
05-05-2014 00:00,580000,2,1,2540,1,5,Seattle,WA 98118,USA
05-05-2014 00:00,410000,3,2.25,1800,1,4,Issaquah,WA 98027,USA
05-05-2014 00:00,485000,4,3,2340,1,4,Kirkland,WA 98034,USA
05-05-2014 00:00,400000,2,1.75,2110,1,2,Shoreline,WA 98155,USA
05-05-2014 00:00,549000,2,1,1140,1,5,Seattle,WA 98112,USA
05-05-2014 00:00,620000,3,1.75,1480,2.5,3,Kirkland,WA 98033,USA
05-05-2014 00:00,405000,2,3,1410,2,3,Seattle,WA 98136,USA
05-05-2014 00:00,232000,2,1,1200,1,4,Des Moines,WA 98198,USA
05-05-2014 00:00,800866,5,2.5,3180,2,4,Kirkland,WA 98033,USA
05-05-2014 00:00,650000,3,1.5,2160,1,4,Seattle,WA 98177,USA
05-05-2014 00:00,823000,6,1.75,2920,2.5,4,Seattle,WA 98122,USA
05-05-2014 00:00,770000,3,2,2350,1.5,4,Seattle,WA 98112,USA
05-05-2014 00:00,524000,3,1.75,1560,1,4,Seattle,WA 98199,USA
05-05-2014 00:00,541125,5,2.75,2740,1,4,Bellevue,WA 98006,USA
05-05-2014 00:00,670000,3,2.5,1680,3,3,Seattle,WA 98105,USA
05-05-2014 00:00,384900,5,2.5,3090,1,3,Federal Way,WA 98023,USA
05-05-2014 00:00,406100,3,2.25,1410,3,3,Seattle,WA 98103,USA
05-05-2014 00:00,1395000,5,3.5,4010,2,5,Seattle,WA 98105,USA
05-05-2014 00:00,736500,4,2.5,3180,2,3,Renton,WA 98059,USA
05-05-2014 00:00,570000,3,2.25,2010,1,3,Redmond,WA 98052,USA
05-05-2014 00:00,787000,3,1.75,1330,1,3,Bellevue,WA 98004,USA
05-05-2014 00:00,328000,4,2.5,2370,2,3,Auburn,WA 98092,USA
05-05-2014 00:00,435000,5,2,1840,1,4,Seattle,WA 98133,USA
05-05-2014 00:00,499000,4,2.5,2910,2,3,Snoqualmie,WA 98065,USA
05-05-2014 00:00,501000,4,1,2070,1,3,Bellevue,WA 98008,USA
05-05-2014 00:00,1090000,4,2.5,4340,2.5,3,Redmond,WA 98053,USA
05-05-2014 00:00,400000,2,1,840,1,3,Seattle,WA 98136,USA
05-05-2014 00:00,220000,4,1.5,1240,1,3,Federal Way,WA 98023,USA
05-05-2014 00:00,657100,4,1,1390,1,3,Seattle,WA 98103,USA
05-05-2014 00:00,309950,4,2.75,2310,2,3,Maple Valley,WA 98038,USA
05-05-2014 00:00,300000,3,2,1050,1,3,Duvall,WA 98019,USA
05-05-2014 00:00,525888,5,1.75,2550,1,5,Issaquah,WA 98027,USA
05-05-2014 00:00,740000,4,1.75,2010,1.5,3,Seattle,WA 98119,USA
05-05-2014 00:00,340000,5,1,1120,1.5,4,Kirkland,WA 98034,USA
05-05-2014 00:00,398750,3,2.5,2230,2,3,Seattle,WA 98144,USA
05-05-2014 00:00,206000,2,1,810,1,5,Burien,WA 98168,USA
05-05-2014 00:00,1030000,5,2.75,3190,1,3,Bellevue,WA 98006,USA
05-05-2014 00:00,600000,3,1.75,1670,1,4,Sammamish,WA 98075,USA
05-05-2014 00:00,379950,4,1.75,1970,1,5,Shoreline,WA 98133,USA
05-05-2014 00:00,287000,3,1,1450,1,4,Seattle,WA 98118,USA
05-05-2014 00:00,2280000,7,8,13540,3,3,Redmond,WA 98053,USA
05-05-2014 00:00,309950,3,2.5,1880,2,3,Renton,WA 98055,USA
05-05-2014 00:00,600000,3,1.75,1880,1,4,Seattle,WA 98115,USA
05-05-2014 00:00,418000,3,2,1410,1.5,4,Seattle,WA 98103,USA
05-05-2014 00:00,449250,4,2,1480,1.5,5,Seattle,WA 98133,USA
05-05-2014 00:00,329950,2,1,1140,1.5,4,Seattle,WA 98133,USA
05-05-2014 00:00,245000,3,1.75,1920,1,3,Auburn,WA 98001,USA
05-05-2014 00:00,549000,4,2.5,2910,2,3,Renton,WA 98059,USA
05-05-2014 00:00,800000,3,2.5,3240,2,3,Sammamish,WA 98075,USA
05-05-2014 00:00,249950,3,2,1550,1,4,Renton,WA 98059,USA
05-05-2014 00:00,210000,5,2,2050,1,3,Des Moines,WA 98198,USA
05-05-2014 00:00,1425000,2,2.5,2220,2,3,Seattle,WA 98112,USA
05-05-2014 00:00,585000,2,1,1770,1.5,3,Seattle,WA 98117,USA
05-05-2014 00:00,615000,4,1.75,2300,1,4,Redmond,WA 98052,USA
05-05-2014 00:00,618500,3,2,1800,1,4,Seattle,WA 98115,USA
05-05-2014 00:00,487585,4,1.75,2010,1,3,Kirkland,WA 98034,USA
05-05-2014 00:00,509900,3,2.5,1790,2,3,Issaquah,WA 98027,USA
05-05-2014 00:00,631625,4,2.5,2440,2,3,Seattle,WA 98117,USA
05-05-2014 00:00,555000,3,2.5,1940,2,3,Issaquah,WA 98027,USA
05-05-2014 00:00,340000,2,1.5,1160,2,3,Seattle,WA 98144,USA
05-05-2014 00:00,830000,4,2.5,3400,2,3,Redmond,WA 98052,USA
05-05-2014 00:00,890000,4,4.25,4420,2,3,Issaquah,WA 98027,USA
05-05-2014 00:00,366750,3,3,1571,3,3,Seattle,WA 98125,USA
05-05-2014 00:00,415000,3,2.25,1620,2.5,3,Issaquah,WA 98029,USA
05-05-2014 00:00,416286,3,2.5,1408,3,3,Seattle,WA 98115,USA
05-05-2014 00:00,478000,3,2.5,3040,2,3,Renton,WA 98056,USA
05-05-2014 00:00,890000,5,3.5,4490,2,3,Issaquah,WA 98027,USA
05-05-2014 00:00,419190,2,2.5,1590,2,3,Issaquah,WA 98029,USA
05-05-2014 00:00,712198,4,2.5,2450,2,3,Redmond,WA 98052,USA
06-05-2014 00:00,397000,4,2,1440,1,3,Kirkland,WA 98034,USA
06-05-2014 00:00,450000,2,2,1100,1.5,3,Seattle,WA 98117,USA
06-05-2014 00:00,353000,3,1,1350,1,4,Seattle,WA 98125,USA
06-05-2014 00:00,609000,4,2.5,2150,2,3,Redmond,WA 98052,USA
06-05-2014 00:00,234000,3,1.75,1490,1,4,Covington,WA 98042,USA
06-05-2014 00:00,561000,3,2,2000,2,3,Seattle,WA 98136,USA
06-05-2014 00:00,469000,2,1,1030,1,3,Seattle,WA 98117,USA
06-05-2014 00:00,329350,2,1,720,1,3,Seattle,WA 98117,USA
06-05-2014 00:00,488000,5,2,2020,1.5,4,Seattle,WA 98117,USA
06-05-2014 00:00,279900,3,1.75,1580,1,4,Des Moines,WA 98198,USA
06-05-2014 00:00,606000,4,2.5,2110,2,3,Issaquah,WA 98027,USA
06-05-2014 00:00,312000,4,2,1300,1,3,Seattle,WA 98146,USA
06-05-2014 00:00,650000,3,1.5,1630,1,3,Seattle,WA 98115,USA
06-05-2014 00:00,1135000,4,2.75,3370,1,3,Seattle,WA 98136,USA
06-05-2014 00:00,325000,4,2.5,1890,1,3,Seattle,WA 98106,USA
06-05-2014 00:00,425000,4,2,1520,1,5,Inglewood-Finn Hill,WA 98034,USA
06-05-2014 00:00,219000,2,1,900,1,3,Seattle,WA 98106,USA
06-05-2014 00:00,250000,3,1,1050,1,3,Shoreline,WA 98133,USA
06-05-2014 00:00,390000,3,1.75,1260,1,4,Bellevue,WA 98008,USA
06-05-2014 00:00,475000,6,3,3470,1.5,3,Kenmore,WA 98028,USA
06-05-2014 00:00,736000,4,2.5,2290,2,4,Bellevue,WA 98006,USA
06-05-2014 00:00,407000,4,2.25,2810,1,3,Des Moines,WA 98198,USA
06-05-2014 00:00,272000,3,2.5,1650,2,3,Carnation,WA 98014,USA
06-05-2014 00:00,362000,3,2.25,1640,1,4,Burien,WA 98148,USA
06-05-2014 00:00,535000,3,2.5,1850,2,3,Kirkland,WA 98034,USA
06-05-2014 00:00,284000,4,2.5,2000,2,3,Kent,WA 98042,USA
06-05-2014 00:00,367500,3,1.5,1410,1,3,Shoreline,WA 98177,USA
06-05-2014 00:00,379900,4,1.75,1500,1,4,Kenmore,WA 98028,USA
06-05-2014 00:00,520000,3,2.5,2460,2,4,Renton,WA 98059,USA
06-05-2014 00:00,175000,3,1,1010,1,3,Renton,WA 98057,USA
06-05-2014 00:00,460000,2,2.25,1230,2,3,Seattle,WA 98112,USA
06-05-2014 00:00,345000,4,2.5,2331,2,3,Renton,WA 98058,USA
06-05-2014 00:00,455000,5,2.5,2240,1,3,Kirkland,WA 98034,USA
06-05-2014 00:00,610000,4,3,2450,1,5,Bellevue,WA 98006,USA
06-05-2014 00:00,563000,4,3,3100,2,3,Kenmore,WA 98028,USA
06-05-2014 00:00,612500,4,2,2060,1,3,Seattle,WA 98117,USA
06-05-2014 00:00,218000,3,1.75,1850,1,3,Federal Way,WA 98023,USA
06-05-2014 00:00,404000,4,1.75,1840,1,3,Bellevue,WA 98008,USA
06-05-2014 00:00,860000,4,2,3740,2,3,Redmond,WA 98053,USA
06-05-2014 00:00,136500,3,1.5,1420,1,3,Federal Way,WA 98023,USA
06-05-2014 00:00,313950,3,1,1510,1,4,Seattle,WA 98115,USA
06-05-2014 00:00,575000,3,1.75,2130,1,3,Seattle,WA 98199,USA
06-05-2014 00:00,1225000,4,2.25,3490,2,4,Seattle,WA 98199,USA
06-05-2014 00:00,280000,3,1.75,1630,1,4,North Bend,WA 98045,USA
06-05-2014 00:00,515000,3,2.5,1790,2,3,Sammamish,WA 98074,USA
06-05-2014 00:00,513000,4,2.5,2000,2,3,Kenmore,WA 98028,USA
06-05-2014 00:00,599000,4,2.25,2260,2,4,Bellevue,WA 98006,USA
06-05-2014 00:00,685000,4,2.5,3030,2,3,Sammamish,WA 98074,USA
06-05-2014 00:00,365000,3,1.5,1310,1,3,Seattle,WA 98133,USA
06-05-2014 00:00,762300,4,2.5,3880,2,3,Sammamish,WA 98074,USA
06-05-2014 00:00,1580000,4,3.25,3760,1.5,5,Seattle,WA 98105,USA
06-05-2014 00:00,562000,5,2.25,3040,2,3,Redmond,WA 98052,USA
06-05-2014 00:00,530000,5,2.5,2910,1,4,Bellevue,WA 98008,USA
06-05-2014 00:00,525000,3,2.5,2970,1,3,Sammamish,WA 98074,USA
06-05-2014 00:00,484000,2,1.75,1660,1,3,Seattle,WA 98105,USA
06-05-2014 00:00,725126,4,2.5,3200,2,3,Newcastle,WA 98059,USA
06-05-2014 00:00,360000,4,2,2680,1,5,Auburn,WA 98001,USA
06-05-2014 00:00,387000,3,1,1230,1,5,Newcastle,WA 98056,USA
06-05-2014 00:00,483500,4,2.5,2740,2,3,Woodinville,WA 98077,USA
06-05-2014 00:00,655500,4,3.5,3380,2,3,Shoreline,WA 98177,USA
06-05-2014 00:00,345000,3,1,1110,1,3,Seattle,WA 98115,USA
06-05-2014 00:00,533000,5,2.75,1800,1.5,3,Seattle,WA 98103,USA
06-05-2014 00:00,385000,3,1.75,1900,1,3,Seattle,WA 98118,USA
06-05-2014 00:00,675000,2,1,930,1,3,Bellevue,WA 98006,USA
06-05-2014 00:00,197000,3,1.75,1690,1,4,Auburn,WA 98001,USA
06-05-2014 00:00,485000,3,2,1420,1.5,3,Seattle,WA 98103,USA
06-05-2014 00:00,1870000,5,4,4510,2,3,Mercer Island,WA 98040,USA
06-05-2014 00:00,295000,3,2.25,1980,1,4,Federal Way,WA 98023,USA
06-05-2014 00:00,499000,2,1.75,1170,1,4,Seattle,WA 98103,USA
06-05-2014 00:00,1050000,3,2.5,2200,2,3,Seattle,WA 98102,USA
06-05-2014 00:00,191000,3,1.5,800,1,4,Federal Way,WA 98023,USA
06-05-2014 00:00,500000,3,2.5,1480,3,3,Seattle,WA 98112,USA
06-05-2014 00:00,390000,5,3.75,2890,1,3,Seattle,WA 98144,USA
06-05-2014 00:00,979000,3,2.5,2690,3,3,Seattle,WA 98117,USA
06-05-2014 00:00,580000,4,3.25,3569,2,3,Renton,WA 98055,USA
06-05-2014 00:00,369950,3,2,1270,3,3,Seattle,WA 98103,USA
06-05-2014 00:00,1800000,5,5,4490,2,3,Bellevue,WA 98004,USA
06-05-2014 00:00,776000,4,2.5,3040,2,3,Redmond,WA 98052,USA
07-05-2014 00:00,519950,3,2.25,1170,3,3,Seattle,WA 98107,USA
07-05-2014 00:00,255000,5,2.25,2060,1,3,Burien,WA 98146,USA
07-05-2014 00:00,495000,3,1,990,1,3,Seattle,WA 98105,USA
07-05-2014 00:00,510000,4,2.5,2430,2,3,Shoreline,WA 98155,USA
07-05-2014 00:00,1150000,4,4,4460,2,3,Redmond,WA 98053,USA
07-05-2014 00:00,253000,3,1.75,1250,1,3,Black Diamond,WA 98010,USA
07-05-2014 00:00,503000,3,2.75,1540,1,5,Kirkland,WA 98034,USA
07-05-2014 00:00,275000,3,2.5,1600,2,4,Maple Valley,WA 98038,USA
07-05-2014 00:00,249000,3,1,1110,1,3,Burien,WA 98166,USA
07-05-2014 00:00,310000,3,1.75,1840,1,4,Renton,WA 98058,USA
07-05-2014 00:00,750000,3,2.75,2520,1,4,Seattle,WA 98119,USA
07-05-2014 00:00,630000,3,2.5,2680,2,3,Ravensdale,WA 98051,USA
07-05-2014 00:00,599999,9,4.5,3830,2.5,3,Seattle,WA 98103,USA
07-05-2014 00:00,758000,4,2.75,2410,1,4,Kirkland,WA 98033,USA
07-05-2014 00:00,248500,4,1.75,1720,1,5,Covington,WA 98042,USA
07-05-2014 00:00,310000,3,1.75,2070,1,4,Kent,WA 98031,USA
07-05-2014 00:00,460000,3,2,1760,2,4,Redmond,WA 98052,USA
07-05-2014 00:00,675000,3,1.75,1680,1,4,Bellevue,WA 98005,USA
07-05-2014 00:00,526000,2,2,1550,1.5,4,Seattle,WA 98103,USA
07-05-2014 00:00,560000,3,3,4120,2,3,Carnation,WA 98014,USA
07-05-2014 00:00,415000,4,3,1830,2,3,Bothell,WA 98028,USA
07-05-2014 00:00,246000,3,1,1400,1,3,Burien,WA 98166,USA
07-05-2014 00:00,314500,3,1.75,1870,1,4,Federal Way,WA 98003,USA
07-05-2014 00:00,3200000,7,4.5,6210,2.5,5,Seattle,WA 98109,USA
07-05-2014 00:00,420000,2,1.5,1040,1.5,4,Seattle,WA 98144,USA
07-05-2014 00:00,535000,3,1.75,2720,1.5,3,Carnation,WA 98014,USA
07-05-2014 00:00,350000,3,1,1010,1,3,Kirkland,WA 98033,USA
07-05-2014 00:00,515000,3,1.75,1580,1,4,Bellevue,WA 98008,USA
07-05-2014 00:00,749950,4,2.75,2600,2,5,Seattle,WA 98116,USA
07-05-2014 00:00,230000,3,2.5,1920,2,3,Renton,WA 98057,USA
07-05-2014 00:00,568000,3,2,2350,1.5,3,Seattle,WA 98118,USA
07-05-2014 00:00,250000,1,1,1100,1,2,Burien,WA 98166,USA
07-05-2014 00:00,581000,4,2,2510,1,4,Kirkland,WA 98033,USA
07-05-2014 00:00,651000,3,2.5,3240,2,4,Kent,WA 98042,USA
07-05-2014 00:00,600000,3,2.5,2460,1,4,Issaquah,WA 98027,USA
07-05-2014 00:00,500000,2,1,1010,1.5,4,Seattle,WA 98112,USA
07-05-2014 00:00,475000,2,1,820,1,3,Seattle,WA 98103,USA
07-05-2014 00:00,352000,5,2.5,2420,1,3,Seattle,WA 98118,USA
07-05-2014 00:00,420000,3,2.25,1770,2,3,Kirkland,WA 98034,USA
07-05-2014 00:00,428000,2,2,1350,1,3,Redmond,WA 98053,USA
07-05-2014 00:00,599000,3,1.75,1960,1,4,Seattle,WA 98115,USA
07-05-2014 00:00,492000,4,2.5,3305,1.5,5,Shoreline,WA 98133,USA
07-05-2014 00:00,630000,2,2.25,2550,1,3,Renton,WA 98056,USA
07-05-2014 00:00,900000,5,3.75,4130,2,3,Woodinville,WA 98077,USA
07-05-2014 00:00,1110000,4,1.5,2310,1,3,Clyde Hill,WA 98004,USA
07-05-2014 00:00,575000,4,2,1650,1,3,Seattle,WA 98117,USA
07-05-2014 00:00,705000,4,2.5,2650,1.5,3,Seattle,WA 98116,USA
07-05-2014 00:00,940000,4,2.25,1890,1,3,Seattle,WA 98112,USA
07-05-2014 00:00,313000,3,1.75,2190,1,4,Federal Way,WA 98023,USA
07-05-2014 00:00,618080,3,2.5,2030,2,3,Issaquah,WA 98027,USA
07-05-2014 00:00,640000,3,3,2270,2,3,Renton,WA 98056,USA
07-05-2014 00:00,485000,3,2,1610,1,4,Seattle,WA 98136,USA
07-05-2014 00:00,300000,2,1,760,1,3,Seattle,WA 98144,USA
07-05-2014 00:00,379500,2,1,1640,1,3,Redmond,WA 98053,USA
07-05-2014 00:00,339950,3,2.25,1630,2,4,Renton,WA 98058,USA
07-05-2014 00:00,1500000,6,2.5,3560,2.5,4,Seattle,WA 98112,USA
07-05-2014 00:00,1340000,3,3,2960,2,3,Seattle,WA 98199,USA
07-05-2014 00:00,500000,3,2.5,1940,1,4,Issaquah,WA 98027,USA
07-05-2014 00:00,239900,3,2,1410,1,3,Kent,WA 98030,USA
07-05-2014 00:00,314950,3,1,1040,1,4,Renton,WA 98059,USA
07-05-2014 00:00,361280,2,1,820,1,4,Seattle,WA 98126,USA
07-05-2014 00:00,100000,2,1,910,1,3,Algona,WA 98001,USA
07-05-2014 00:00,540000,7,5.75,3700,2,3,Lake Forest Park,WA 98155,USA
07-05-2014 00:00,480500,4,2.5,2180,1,4,Woodinville,WA 98072,USA
07-05-2014 00:00,280000,3,2.5,1600,2,3,Auburn,WA 98001,USA
07-05-2014 00:00,440000,3,1.75,1500,1,4,Seattle,WA 98118,USA
07-05-2014 00:00,530000,3,1,1340,1,3,Seattle,WA 98105,USA
07-05-2014 00:00,560000,3,2,1860,1,3,Issaquah,WA 98027,USA
07-05-2014 00:00,775000,3,2,2540,1.5,4,Seattle,WA 98144,USA
07-05-2014 00:00,160000,2,1,1040,1,5,Kent,WA 98032,USA
07-05-2014 00:00,209950,3,1.5,1380,1,3,Federal Way,WA 98003,USA
07-05-2014 00:00,226500,3,1.75,1640,1,3,Covington,WA 98042,USA
07-05-2014 00:00,380000,5,1.75,3000,1,5,Seattle,WA 98178,USA
07-05-2014 00:00,409500,4,2.75,2140,1,3,Kenmore,WA 98028,USA
07-05-2014 00:00,690000,3,2,1760,1,4,Seattle,WA 98199,USA
07-05-2014 00:00,405000,3,2.25,1660,1,4,Shoreline,WA 98133,USA
07-05-2014 00:00,375000,3,2.5,1830,2,3,Maple Valley,WA 98038,USA
07-05-2014 00:00,794154,4,2,2210,1,4,Seattle,WA 98199,USA
07-05-2014 00:00,185000,4,1,1490,1,3,Burien,WA 98168,USA
07-05-2014 00:00,245000,3,1.5,1260,2,3,Seattle,WA 98133,USA
07-05-2014 00:00,1532500,5,4.5,4270,2,3,Kirkland,WA 98033,USA
07-05-2014 00:00,1040000,4,3.5,3900,2,3,Kirkland,WA 98033,USA
07-05-2014 00:00,425000,2,2.5,1150,3,3,Seattle,WA 98103,USA
07-05-2014 00:00,495000,4,2.75,2656,2,3,Auburn,WA 98001,USA
07-05-2014 00:00,365000,5,2.75,2410,1,3,Seattle,WA 98118,USA
07-05-2014 00:00,417250,3,2.25,1606,3,3,Seattle,WA 98125,USA
07-05-2014 00:00,339950,2,1,820,3,3,Seattle,WA 98103,USA
08-05-2014 00:00,615000,2,1,1540,1,4,Seattle,WA 98119,USA
08-05-2014 00:00,403000,3,2.75,2090,2,3,Duvall,WA 98019,USA
08-05-2014 00:00,980000,5,2.5,3160,1,4,Mercer Island,WA 98040,USA
08-05-2014 00:00,258000,4,1.75,1730,1,3,Federal Way,WA 98023,USA
08-05-2014 00:00,533000,3,1,1670,1,3,Seattle,WA 98115,USA
08-05-2014 00:00,537500,4,2.5,2550,2,3,Sammamish,WA 98075,USA
08-05-2014 00:00,830000,5,3,3040,1,5,Mercer Island,WA 98040,USA
08-05-2014 00:00,712000,3,1,1250,1.5,4,Seattle,WA 98103,USA
08-05-2014 00:00,262000,4,2.5,2020,2,3,Algona,WA 98001,USA
08-05-2014 00:00,753888,4,2.5,2660,2,3,Issaquah,WA 98029,USA
08-05-2014 00:00,134000,2,1.5,980,2,3,Skykomish,WA 98288,USA
08-05-2014 00:00,402000,3,2.5,1960,1,4,Kirkland,WA 98034,USA
08-05-2014 00:00,205000,2,1,720,1,3,Seattle,WA 98106,USA
08-05-2014 00:00,553650,2,2.5,1360,2,3,Seattle,WA 98112,USA
08-05-2014 00:00,559950,2,2,1870,1,3,Redmond,WA 98053,USA
08-05-2014 00:00,260000,4,1.5,2130,1,3,Kent,WA 98032,USA
08-05-2014 00:00,270000,4,2.5,1810,2,3,Kent,WA 98042,USA
08-05-2014 00:00,295000,2,1.75,2200,1,3,Issaquah,WA 98027,USA
08-05-2014 00:00,719000,3,2.5,1690,1.5,4,Seattle,WA 98116,USA
08-05-2014 00:00,266000,3,2.5,1940,1,3,Kent,WA 98030,USA
08-05-2014 00:00,325900,4,2.5,2320,2,3,Kent,WA 98042,USA
08-05-2014 00:00,647500,4,1.75,2060,1,4,Normandy Park,WA 98166,USA
08-05-2014 00:00,1039000,4,1,3410,2,5,Seattle,WA 98144,USA
08-05-2014 00:00,569000,4,2.25,2250,2,3,Redmond,WA 98053,USA
